smiles,IC50(nM)
Cc1cc(OCc2cccc(c2C)-c2ccc3OCCOc3c2)cc(OCc2cccc(c2)C#N)c1CN[C@H](CO)C(O)=O |r|,5.3
Cc1cc(OCc2cccc(c2C)-c2ccc3OCCOc3c2)cc(OCc2cccc(c2)C#N)c1CNC[C@@H](O)CC(O)=O |r|,5.3
Cc1cc(OCc2cccc(c2C)-c2ccc3OCCOc3c2)cc(OCc2cccc(c2)C#N)c1CN1CCCC[C@H]1C(O)=O |r|,550
CC(=O)NCCNCc1c(C)cc(OCc2cccc(c2C)-c2ccc3OCCOc3c2)cc1OCc1cncc(c1)C#N,5.3
Cc1cc(OCc2cccc(c2C)-c2ccc3OCCOc3c2)cc(OCc2cncc(c2)C#N)c1CNC[C@@H](O)CC(O)=O |r|,5.3
Cc1cc(OCc2cccc(c2C)-c2ccc3OCCOc3c2)cc(OCc2cncc(c2)C#N)c1CN[C@H](CO)C(O)=O |r|,5.3
Cc1cc(OCc2cccc(c2C)-c2ccc3OCCOc3c2)cc(OCc2cncc(c2)C#N)c1CN[C@](C)(CO)C(O)=O |r|,5.3
Cc1cc(OCc2cccc(c2C)-c2ccc3OCCOc3c2)cc(OCc2cncc(c2)C#N)c1CN1CCCC[C@H]1C(O)=O |r|,5.3
Cc1cc(OCc2cccc(c2C)-c2ccc3OCCOc3c2)cc(OCc2cncc(c2)C#N)c1CN[C@@](C)(CO)C(O)=O |r|,5.3
Cc1c(COc2ccc(CNC[C@@H](O)CC(O)=O)c(OCc3cccc(c3)C#N)c2)cccc1-c1ccccc1 |r|,5.3
C[C@H](O)[C@H](NCc1ccc(OCc2cccc(c2C)-c2ccccc2)cc1OCc1cccc(c1)C#N)C(O)=O |r|,550
C[C@@H](O)[C@@H](NCc1ccc(OCc2cccc(c2C)-c2ccccc2)cc1OCc1cccc(c1)C#N)C(O)=O |r|,5.3
Cc1c(COc2ccc(CNC(C)(CO)C(O)=O)c(OCc3cccc(c3)C#N)c2)cccc1-c1ccccc1,5.3
C[C@H](O)[C@@H](NCc1ccc(OCc2cccc(c2C)-c2ccccc2)cc1OCc1cccc(c1)C#N)C(O)=O |r|,5.3
Cc1c(COc2ccc(CN[C@H](CO)C(O)=O)c(OCc3cccc(c3)C#N)c2)cccc1-c1ccccc1 |r|,4.55
Cc1c(COc2ccc(CNC(CO)C(O)=O)c(OCc3cccc(c3)C#N)c2)cccc1-c1ccccc1,5.3
Cc1c(COc2ccc(CN[C@@H](CO)C(O)=O)c(OCc3cccc(c3)C#N)c2)cccc1-c1ccccc1 |r|,5.3
Cc1c(COc2ccc(CN[C@@](C)(CO)C(O)=O)c(OCc3cccc(c3)C#N)c2)cccc1-c1ccccc1 |r|,5.3
CC(C)C(CO)(NCc1ccc(OCc2cccc(c2C)-c2ccccc2)cc1OCc1cccc(c1)C#N)C(O)=O,550
Cc1c(COc2ccc(CN[C@H](CO)CC(O)=O)c(OCc3cccc(c3)C#N)c2)cccc1-c1ccccc1 |r|,5.3
Cc1c(COc2ccc(CN[C@@H](CO)CC(O)=O)c(OCc3cccc(c3)C#N)c2)cccc1-c1ccccc1 |r|,5.3
Cc1c(COc2ccc(CN[C@](C)(CO)C(O)=O)c(OCc3cccc(c3)C#N)c2)cccc1-c1ccccc1 |r|,5.3
CC(=O)NCCNCc1ccc(OCc2cccc(c2C)-c2ccccc2)cc1OCc1ccccc1,10050
CC(=O)NCCNCc1ccc(OCc2cccc(c2C)-c2ccccc2)cc1OCc1cccc(C)c1,10050
CC(=O)NCCNCc1ccc(OCc2cccc(c2C)-c2ccccc2)cc1OCC(F)(F)F,10050
CCCOc1cc(OCc2cccc(c2C)-c2ccccc2)ccc1CNCCNC(C)=O,10050
